year,period,state,region,nss_round,category,sub_category,source_of_water,type_of_filtering,value,unit,note
2018,"July, 2018 to December, 2018",All India,Rural + Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,Others,17,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Rural + Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,Electric Purifier,87,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,Chemical treament with Alum,3,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,Chemical treament with Bleach/Chlorine Tablet,5,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,Non-electric purifier,55,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,Others,15,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,Not treated (including not required to be treated),509,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,All,1000,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Rural + Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,Boiling,77,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,Electric Purifier,208,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Rural + Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,Chemical treament with Alum,4,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Rural + Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,Chemical treament with Bleach/Chlorine Tablet,10,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Rural + Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,Non-electric purifier,35,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Rural + Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,Filtering with Cloth,117,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Rural + Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,Not treated (including not required to be treated),653,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Rural + Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,All,1000,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,Boiling,111,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Urban,76,Distribution of Households by Method of Treatment of Drinking Water,,,Filtering with Cloth,94,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Rural,76,Distribution of Households by Method of Treatment of Drinking Water,,,All,1000,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Rural,76,Distribution of Households by Method of Treatment of Drinking Water,,,Chemical treament with Bleach/Chlorine Tablet,13,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Rural,76,Distribution of Households by Method of Treatment of Drinking Water,,,Not treated (including not required to be treated),728,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Rural,76,Distribution of Households by Method of Treatment of Drinking Water,,,Electric Purifier,24,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Rural,76,Distribution of Households by Method of Treatment of Drinking Water,,,Chemical treament with Alum,5,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Rural,76,Distribution of Households by Method of Treatment of Drinking Water,,,Boiling,59,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Rural,76,Distribution of Households by Method of Treatment of Drinking Water,,,Non-electric purifier,24,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Rural,76,Distribution of Households by Method of Treatment of Drinking Water,,,Filtering with Cloth,129,value in absolute number per thousand,
2018,"July, 2018 to December, 2018",All India,Rural,76,Distribution of Households by Method of Treatment of Drinking Water,,,Others,19,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Public Tap/Stand,Others,51,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Tank/ Pond,Others,52,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Tube Well/Borehole,Others,69,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Well,Others,52,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Well,Others,60,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Spring,Others,1,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Spring,Others,22,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Rainwater Collection,Others,203,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Total Number of Households treating Drinking Water by Type of Treatment,Sample,,Others,1950,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Other Surface Water,Others,29,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped water into Dwelling,n.r. (Not Reported),0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Bottled Water,n.r. (Not Reported),0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Others,Others,90,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Total Number of Households treating Drinking Water by Type of Treatment,Estimated,,Others,5486600,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,All (including not reported),Others,55,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,N.R. (Not Reported),Others,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped water into Dwelling,Others,40,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped to Yard/Dwelling,Others,55,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,N.R. (Not Reported),Filtering with Water Filter,101,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Bottled Water,Others,48,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Total Number of Households treating Drinking Water by Type of Treatment,Sample,,Others,1022,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped to Yard/Dwelling,Others,51,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Public Tap/Stand,Others,66,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Tube Well/Borehole,Others,62,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Well,Others,44,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Well,Others,36,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Spring,Others,18,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Public Tap/Stand,n.r. (Not Reported),0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Spring,Others,0,value in absolute number per thousand,
